0000000001000001,1
0000000001000010,1
0000000001000011,1
0000000001000100,1
0000000001000101,1
0000000000000000,0
0000000000000001,0
0000000000000010,0
0000000000000011,0
0000000000000100,0
0000000000000101,0
0000000000000110,0
0000000000000111,0
0000000000001000,0
0000000000001001,0
0000000000001010,0
0000000000001011,0
0000000000001100,0
0000000000001101,0
0000000000001110,0
0000000000001111,0
0000000000010000,0
0000000000010001,0
0000000000010010,0
0000000000010011,0
0000000000010100,0
0000000000010101,0
0000000000010110,0
0000000000010111,0
0000000000011000,0
0000000000011001,0
0000000000011010,0
0000000000011011,0
0000000000011100,0
0000000000011101,0
0000000000011110,0
0000000000011111,0
0000000000100000,0
0000000000100001,0
0000000000100010,0
0000000000100011,0
0000000000100100,0
0000000000100101,0
0000000000100110,0
0000000000100111,0
0000000000101000,0
0000000000101001,0
0000000000101010,0
0000000000101011,0
0000000000101100,0
0000000000101101,0
0000000000101110,0
0000000000101111,0
0000000000110000,0
0000000000110001,0
0000000000110010,0
0000000000110011,0
0000000000110100,0
0000000000110101,0
0000000000110110,0
0000000000110111,0
0000000000111000,0
0000000000111001,0
0000000000111010,0
0000000000111011,0
0000000000111100,0
0000000000111101,0
0000000000111110,0
0000000000111111,0
0000000001000000,0
0000000001000110,1
0000000001000111,1
0000000001001000,1
0000000001001001,1
0000000001001010,1
0000000001001011,1
0000000001001100,1
0000000001001101,1
0000000001001110,1
0000000001001111,1
0000000001010000,1
0000000001010001,1
0000000001010010,1
0000000001010011,1
0000000001010100,1
0000000001010101,1
0000000001010110,1
0000000001010111,1
0000000001011000,1
0000000001011001,1
0000000001011010,1
0000000001011011,0
0000000001011100,0
0000000001011101,0
0000000001011110,0
0000000001011111,0
0000000001100000,0
0000000001100001,1
0000000001100010,1
0000000001100011,1
0000000001100100,1
0000000001100101,1
0000000001100110,1
0000000001100111,1
0000000001101000,1
0000000001101001,1
0000000001101010,1
0000000001101011,1
0000000001101100,1
0000000001101101,1
0000000001101110,1
0000000001101111,1
0000000001110000,1
0000000001110001,1
0000000001110010,1
0000000001110011,1
0000000001110100,1
0000000001110101,1
0000000001110110,1
0000000001110111,1
0000000001111000,1
0000000001111001,1
0000000001111010,1
0000000001111011,0
0000000001111100,0
0000000001111101,0
0000000001111110,0
0000000001111111,0
